CODIGO,CAT,NOMBRE,MUNICIPIO,DEPARTAMENTO,ELEV,LON,LAT,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
47015070,CO,Pto Umbria,Villagarzon,Putumayo,358,-76.57,0.84,4.45,3.52,2.77,3.02,2.87,2.69,2.86,3.78,4.19,4.57,4.36,4.48,3.63
44015010,AM,Villagarzon,Villagarzon,Putumayo,440,-76.62,1.03,3.45,2.86,2.23,2.47,2.28,1.84,2.26,2.83,3.45,3.68,3.63,3.17,2.85
26125060,SP,Apto El Eden,Armenia,Quindio,1229,-75.77,4.45,5.46,5.22,4.52,4.22,4.13,4.55,5.74,6.11,4.96,4.43,4.49,4.82,4.89
26125070,CO,Bella La,Calarca,Quindio,1450,-75.67,4.52,4.20,4.09,4.25,3.34,3.50,4.21,4.74,4.76,4.01,3.21,3.58,4.21,4.01
26135040,SP,Apto Matecana,Pereira,Risaralda,1342,-75.73,4.82,6.05,5.67,4.98,4.36,4.46,4.94,5.86,5.89,5.03,4.62,4.98,5.38,5.19
26135100,CO,Bohemia La,Pereira,Risaralda,970,-75.88,4.88,6.44,5.90,5.46,4.65,4.78,5.01,5.89,5.97,5.35,4.89,5.21,5.79,5.44
26135070,CO,Cedral El,Pereira,Risaralda,2120,-75.53,4.78,3.14,2.94,2.37,2.17,2.10,2.72,3.75,3.38,2.64,1.97,2.15,2.56,2.66
26135110,CO,Veracruz,Pereira,Risaralda,1720,-75.63,4.87,4.49,4.33,3.60,3.08,3.19,3.70,4.43,4.12,3.55,3.41,3.67,3.97,3.80
54015010,CO,Pueblo Rico,Pueblo Rico,Risaralda,1530,-76.03,5.23,4.14,3.71,3.08,2.94,3.21,3.55,4.07,4.15,3.04,3.05,3.56,3.83,3.53
26135060,CO,Jazmin El,Santa Rosa de Cabal,Risaralda,1600,-75.63,4.92,5.07,4.81,4.40,3.70,3.61,4.18,5.24,4.83,4.22,3.47,3.60,4.26,4.28
26145030,CO,Camelia La,Santuario,Risaralda,1650,-75.97,5.08,4.98,4.86,4.19,3.67,3.77,4.19,5.57,5.56,4.57,3.51,3.61,4.08,4.38
17025020,SP,Apto El Embrujo,Providencia,San Andres Providencia y Sta C,1,-81.35,13.35,7.48,8.23,8.69,8.93,7.58,6.50,6.95,7.60,6.71,6.00,5.86,6.46,7.25
23125060,CO,Albania,Albania,Santander,1690,-73.91,5.76,4.60,3.97,3.19,2.75,3.22,3.35,4.31,4.37,4.16,3.50,3.65,4.25,3.77
23155030,SP,Apto Yariguies,Barrancabermeja,Santander,126,-73.81,7.03,7.17,6.34,4.98,4.89,5.35,5.86,6.78,6.62,6.07,5.42,5.58,6.11,5.93
23195040,CP,Univ Ind Santander,Bucaramanga,Santander,1018,-73.12,7.14,5.93,4.33,3.29,3.58,3.69,2.96,3.84,3.82,3.58,3.53,4.42,5.28,4.02
